,year,month,uf_acronym,type,number_of_consumers,consumption
03
11664,2004,1,RO,residential,258610,44271.0
11665,2004,1,AC,residential,103396,15778.13
11666,2004,1,AM,residential,480619,84473.0
11667,2004,1,RR,residential,66138,15606.65
11668,2004,1,PA,residential,1049108,141170.69
11669,2004,1,AP,residential,102074,21780.0
11670,2004,1,TO,residential,232464,25505.31
11671,2004,1,MA,residential,979489,88613.0
11672,2004,1,PI,residential,579441,55791.0
11673,2004,1,CE,residential,1724128,165168.0
11674,2004,1,RN,residential,704810,80257.85
11675,2004,1,PB,residential,820807,78698.21
11677,2004,1,AL,residential,577321,59273.0
11678,2004,1,SE,residential,467718,47598.8
11679,2004,1,BA,residential,3011623,294797.51
11680,2004,1,MG,residential,5050859,628873.67
11681,2004,1,ES,residential,811450,117209.9
11682,2004,1,RJ,residential,4900324,873761.16
11683,2004,1,SP,residential,11535305,2074540.88
11684,2004,1,PR,residential,2516268,389147.1
11685,2004,1,SC,residential,1489810,286688.71
11686,2004,1,RS,residential,2756426,456670.2
11687,2004,1,MS,residential,535977,87676.4
11688,2004,1,MT,residential,577274,105341.09
11689,2004,1,GO,residential,1526158,199039.0
11690,2004,1,DF,residential,570609,114484.0
11691,2004,2,RO,residential,259356,41823.0
11692,2004,2,AC,residential,104254,14807.61
11693,2004,2,AM,residential,482146,79776.66
11694,2004,2,RR,residential,66247,14793.02
11695,2004,2,PA,residential,1130826,133722.24
11696,2004,2,AP,residential,74507,14494.0
11697,2004,2,TO,residential,233251,23986.15
11698,2004,2,MA,residential,984691,81144.0
11699,2004,2,PI,residential,581075,46649.0
11700,2004,2,CE,residential,1729895,148543.7
11701,2004,2,RN,residential,706526,69742.03
11702,2004,2,PB,residential,824164,68827.4
11703,2004,2,PE,residential,,217764.55
11704,2004,2,AL,residential,578654,54516.0
11705,2004,2,SE,residential,468646,43054.31
11706,2004,2,BA,residential,3022800,269980.34
11707,2004,2,MG,residential,5068885,547149.8
11708,2004,2,ES,residential,815099,110618.0
11709,2004,2,RJ,residential,4914953,873118.34
11710,2004,2,SP,residential,11582374,1980655.12
11711,2004,2,PR,residential,2521011,390487.0
11712,2004,2,SC,residential,1494649,275576.18
11713,2004,2,RS,residential,2764167,455907.3
11714,2004,2,MS,residential,537574,83454.96
11715,2004,2,MT,residential,574903,95490.57
11716,2004,2,GO,residential,1530999,187318.0
11717,2004,2,DF,residential,573696,105839.0
11718,2004,3,RO,residential,259487,40309.0
11719,2004,3,AC,residential,105188,14970.25
11720,2004,3,AM,residential,483838,75028.0
11721,2004,3,RR,residential,66416,14460.54
11722,2004,3,PA,residential,1060932,129019.65
11723,2004,3,AP,residential,131581,21722.0
11724,2004,3,TO,residential,234489,24727.93
11725,2004,3,MA,residential,986506,84537.0
11726,2004,3,PI,residential,582438,48151.0
11727,2004,3,CE,residential,1812176,163812.7
11728,2004,3,RN,residential,709012,75822.93
11729,2004,3,PB,residential,825783,74707.05
11730,2004,3,PE,residential,,225066.08
11731,2004,3,AL,residential,578928,55042.0
11732,2004,3,SE,residential,461002,45581.36
11733,2004,3,BA,residential,3046866,276717.04
11734,2004,3,MG,residential,5089243,609944.11
11735,2004,3,ES,residential,817460,114342.0
11736,2004,3,RJ,residential,4933730,846841.23
11737,2004,3,SP,residential,11644244,2058328.09
11738,2004,3,PR,residential,2525880,375715.5
11739,2004,3,SC,residential,1498867,278745.02
11740,2004,3,RS,residential,2771476,453566.8
11741,2004,3,MS,residential,539112,83723.21
11742,2004,3,MT,residential,577124,102377.67
11743,2004,3,GO,residential,1534634,189405.0
11744,2004,3,DF,residential,579185,117675.0
11745,2004,4,RO,residential,261722,41622.0
11746,2004,4,AC,residential,105510,15545.48
11747,2004,4,AM,residential,484639,75997.24
11748,2004,4,RR,residential,66021,15416.93
11749,2004,4,PA,residential,1147567,145309.27
11750,2004,4,AP,residential,103528,18904.0
11751,2004,4,TO,residential,235368,26979.94
11752,2004,4,MA,residential,989783,87326.0
11753,2004,4,PI,residential,584147,50927.0
11754,2004,4,CE,residential,1838138,177212.4
11755,2004,4,RN,residential,710196,79305.22
11756,2004,4,PB,residential,827986,75635.45
11758,2004,4,AL,residential,580636,56082.0
11759,2004,4,SE,residential,471739,47776.64
11760,2004,4,BA,residential,3049771,290815.47
11761,2004,4,MG,residential,5097879,583130.79
11762,2004,4,ES,residential,816400,109482.1
11763,2004,4,RJ,residential,4953375,871607.61
11764,2004,4,SP,residential,11643432,2169642.61
11765,2004,4,PR,residential,2531905,388594.8
11766,2004,4,SC,residential,1502427,272839.97
11767,2004,4,RS,residential,2774172,470612.3
11768,2004,4,MS,residential,540428,83830.61
11769,2004,4,MT,residential,579237,107596.31
11770,2004,4,GO,residential,1539636,196833.0
11771,2004,4,DF,residential,582270,117811.0
11772,2004,5,RO,residential,262546,42819.8
11773,2004,5,AC,residential,106209,14714.96
11774,2004,5,AM,residential,486060,79165.0
11775,2004,5,RR,residential,66847,13129.88
11776,2004,5,PA,residential,1069625,137324.54
11777,2004,5,AP,residential,103653,18143.0
11778,2004,5,TO,residential,236041,26857.73
11779,2004,5,MA,residential,990486,87117.38
11780,2004,5,PI,residential,585357,50865.0
11781,2004,5,CE,residential,1840518,156118.0
11782,2004,5,RN,residential,711682,75219.42
11783,2004,5,PB,residential,830305,71575.22
11785,2004,5,AL,residential,581668,55113.0
11786,2004,5,SE,residential,473159,44329.9
11787,2004,5,BA,residential,3062606,282303.55
11788,2004,5,MG,residential,5099210,570943.11
11789,2004,5,ES,residential,815215,105932.2
11790,2004,5,RJ,residential,4964375,819331.73
11791,2004,5,SP,residential,11646947,2041061.68
11792,2004,5,PR,residential,2526452,376169.5
11793,2004,5,SC,residential,1506755,259748.67
11794,2004,5,RS,residential,2775499,446184.4
11795,2004,5,MS,residential,540080,81837.19
11796,2004,5,MT,residential,581340,95553.12
11797,2004,5,GO,residential,1543648,192957.0
11798,2004,5,DF,residential,587409,122461.0
11799,2004,6,RO,residential,263582,39615.5
11800,2004,6,AC,residential,106406,13650.97
11801,2004,6,AM,residential,486880,76363.0
11802,2004,6,RR,residential,67162,13541.43
11803,2004,6,PA,residential,1077697,141204.56
11804,2004,6,AP,residential,103861,19502.0
11805,2004,6,TO,residential,237799,28211.76
11806,2004,6,MA,residential,991177,86473.0
11807,2004,6,PI,residential,587485,49478.0
11808,2004,6,CE,residential,1843602,161970.0
11809,2004,6,RN,residential,713730,73742.1
11810,2004,6,PB,residential,831406,69427.18
11812,2004,6,AL,residential,581392,54880.0
11813,2004,6,SE,residential,474657,42832.11
11814,2004,6,BA,residential,3073834,265517.5
11815,2004,6,MG,residential,5100084,569760.66
11816,2004,6,ES,residential,816526,97920.02
11817,2004,6,RJ,residential,4984685,726377.44
11818,2004,6,SP,residential,11672620,2039384.38
11819,2004,6,PR,residential,2539584,380972.4
11820,2004,6,SC,residential,1510579,249890.51
11821,2004,6,RS,residential,2778318,425987.22
11822,2004,6,MS,residential,545329,71126.92
11823,2004,6,MT,residential,584717,87134.9
11824,2004,6,GO,residential,1548311,196116.0
11825,2004,6,DF,residential,593779,111981.0
11826,2004,7,RO,residential,264202,40586.0
11827,2004,7,AC,residential,106638,14831.92
11828,2004,7,AM,residential,488308,78969.0
11829,2004,7,RR,residential,67269,13255.62
11830,2004,7,PA,residential,1084988,135724.37
11831,2004,7,AP,residential,103960,19440.0
11832,2004,7,TO,residential,238746,25616.15
11833,2004,7,MA,residential,994375,84032.37
11834,2004,7,PI,residential,589634,49524.2
11835,2004,7,CE,residential,1845106,148023.0
11836,2004,7,RN,residential,715670,70563.06
11837,2004,7,PB,residential,820892,68034.16
11839,2004,7,AL,residential,583874,50870.0
11840,2004,7,SE,residential,475650,42244.52
11841,2004,7,BA,residential,3085239,263190.43
11842,2004,7,MG,residential,5113014,552881.63
11843,2004,7,ES,residential,816787,95661.95
11844,2004,7,RJ,residential,4997147,742365.85
11845,2004,7,SP,residential,11724169,2066713.34
11846,2004,7,PR,residential,2536794,374401.9
11847,2004,7,SC,residential,1514930,252993.33
11848,2004,7,RS,residential,2781970,439309.61
11849,2004,7,MS,residential,546080,70142.41
11850,2004,7,MT,residential,586988,92385.54
11851,2004,7,GO,residential,1552995,185934.0
11852,2004,7,DF,residential,595602,122077.0
11853,2004,8,RO,residential,264855,39354.0
11854,2004,8,AC,residential,107134,14965.91
11855,2004,8,AM,residential,489160,79171.48
11856,2004,8,RR,residential,67298,12645.36
11857,2004,8,PA,residential,1174624,146423.11
11858,2004,8,AP,residential,104197,19717.0
11859,2004,8,TO,residential,240055,26559.5
11860,2004,8,MA,residential,998113,87593.0
11861,2004,8,PI,residential,591536,50770.0
11862,2004,8,CE,residential,1851087,164163.7
11863,2004,8,RN,residential,717845,69621.91
11864,2004,8,PB,residential,831829,65567.87
11866,2004,8,AL,residential,585357,47564.0
11867,2004,8,SE,residential,476955,40125.56
11868,2004,8,BA,residential,3098064,247536.47
11869,2004,8,MG,residential,5119867,556685.8
11870,2004,8,ES,residential,818525,95209.4
11871,2004,8,RJ,residential,5009782,726722.58
11872,2004,8,SP,residential,11734413,2074704.65
11873,2004,8,PR,residential,2550243,379364.0
11874,2004,8,SC,residential,1519195,258288.4
11875,2004,8,RS,residential,2786446,432540.0
11876,2004,8,MS,residential,547866,78390.71
11877,2004,8,MT,residential,590745,88841.97
11878,2004,8,GO,residential,1557584,192073.0
11879,2004,8,DF,residential,597890,119886.0
11880,2004,9,RO,residential,262271,42564.0
11881,2004,9,AC,residential,107386,15749.94
11882,2004,9,AM,residential,490872,86117.99
11883,2004,9,RR,residential,67387,14174.85
11884,2004,9,PA,residential,1097924,141929.93
11885,2004,9,AP,residential,104767,20994.0
11886,2004,9,TO,residential,241912,29928.58
11887,2004,9,MA,residential,999718,91369.98
11888,2004,9,PI,residential,593168,54549.0
11889,2004,9,CE,residential,1858517,174620.1
11890,2004,9,RN,residential,719842,71250.23
11891,2004,9,PB,residential,835984,71382.75
11893,2004,9,AL,residential,586651,51308.0
11894,2004,9,SE,residential,469495,41059.64
11895,2004,9,BA,residential,3118503,261494.53
11896,2004,9,MG,residential,5130280,595065.16
11897,2004,9,ES,residential,817388,101358.23
11898,2004,9,RJ,residential,5019550,777210.22
11899,2004,9,SP,residential,11752856,2122526.57
11900,2004,9,PR,residential,2558962,393932.0
11901,2004,9,SC,residential,1523474,268234.08
11902,2004,9,RS,residential,2789967,438391.2
11903,2004,9,MS,residential,550265,77924.88
11904,2004,9,MT,residential,595390,103861.02
11905,2004,9,GO,residential,1561900,209570.0
11906,2004,9,DF,residential,599813,123615.0
11907,2004,10,RO,residential,264475,45081.0
11908,2004,10,AC,residential,107835,16636.93
11909,2004,10,AM,residential,492352,82395.72
11910,2004,10,RR,residential,67822,15158.62
11911,2004,10,PA,residential,1102962,142047.33
11912,2004,10,AP,residential,105435,22521.0
11913,2004,10,TO,residential,242917,29366.04
11914,2004,10,MA,residential,1001404,89662.72
11915,2004,10,PI,residential,595191,55990.0
11916,2004,10,CE,residential,1863266,173293.4
11917,2004,10,RN,residential,722965,73392.11
11918,2004,10,PB,residential,838592,73990.8
11920,2004,10,AL,residential,588812,51757.0
11921,2004,10,SE,residential,471659,43729.31
11922,2004,10,BA,residential,3129448,271886.11
11923,2004,10,MG,residential,5138836,593151.77
11924,2004,10,ES,residential,817266,104701.66
11925,2004,10,RJ,residential,5032035,792953.51
11926,2004,10,SP,residential,11993077,2117323.09
11927,2004,10,PR,residential,2565029,383664.68
11928,2004,10,SC,residential,1528230,259657.75
11929,2004,10,RS,residential,2794987,426155.9
11930,2004,10,MS,residential,555121,83934.74
11931,2004,10,MT,residential,597272,110987.38
11932,2004,10,GO,residential,1565770,209412.0
11933,2004,10,DF,residential,602261,125116.0
11934,2004,11,RO,residential,267015,44687.0
11935,2004,11,AC,residential,108454,16815.59
11936,2004,11,AM,residential,493682,86089.23
11937,2004,11,RR,residential,68052,15655.56
11938,2004,11,PA,residential,1111748,149190.18
11939,2004,11,AP,residential,105581,22269.0
11940,2004,11,TO,residential,243386,27572.8
11941,2004,11,MA,residential,1003746,89720.66
11942,2004,11,PI,residential,598286,58308.0
11943,2004,11,CE,residential,1866576,174671.0
11944,2004,11,RN,residential,727110,77686.34
11945,2004,11,PB,residential,840500,72830.77
11947,2004,11,AL,residential,592035,52364.0
11948,2004,11,SE,residential,473252,45402.3
11949,2004,11,BA,residential,3141203,285609.39
11950,2004,11,MG,residential,5143523,570184.61
11951,2004,11,ES,residential,817537,107156.72
11952,2004,11,RJ,residential,5048674,823408.24
11953,2004,11,SP,residential,11812929,2107765.41
11954,2004,11,PR,residential,2572533,384057.23
11955,2004,11,SC,residential,1532409,257362.85
11956,2004,11,RS,residential,2800166,430069.8
11957,2004,11,MS,residential,555257,83256.37
11958,2004,11,MT,residential,602192,110771.04
11959,2004,11,GO,residential,1574138,194999.0
11960,2004,11,DF,residential,603666,116668.0
11961,2004,12,RO,residential,264157,42843.0
11962,2004,12,AC,residential,108422,16169.22
11963,2004,12,AM,residential,493005,83190.81
11964,2004,12,RR,residential,68561,15434.34
11965,2004,12,PA,residential,1119047,148314.53
11966,2004,12,AP,residential,106378,22649.0
11967,2004,12,TO,residential,244865,27292.8
11968,2004,12,MA,residential,1005470,88175.02
11969,2004,12,PI,residential,601087,54329.0
11970,2004,12,CE,residential,1871241,177340.5
11971,2004,12,RN,residential,730901,81553.68
11972,2004,12,PB,residential,844019,73885.75
11974,2004,12,AL,residential,595061,56152.0
11975,2004,12,SE,residential,485582,47528.88
11976,2004,12,BA,residential,3143083,284402.45
11977,2004,12,MG,residential,5144505,568840.37
11978,2004,12,ES,residential,819940,105104.37
11979,2004,12,RJ,residential,5063105,854632.77
11980,2004,12,SP,residential,11829626,2040860.4
11981,2004,12,PR,residential,2578213,382298.38
11982,2004,12,SC,residential,1538039,265283.65
11983,2004,12,RS,residential,2806644,452985.1
11984,2004,12,MS,residential,559623,86426.73
11985,2004,12,MT,residential,604644,110137.62
11986,2004,12,GO,residential,1574138,194804.0
11987,2004,12,DF,residential,609033,121884.0
11988,2005,1,RO,residential,269712,42228.0
11989,2005,1,AC,residential,109251,16837.77
11990,2005,1,AM,residential,496016,83500.34
11991,2005,1,RR,residential,68814,15679.4
11992,2005,1,PA,residential,1126781,148186.84
11993,2005,1,AP,residential,106378,22649.0
11994,2005,1,TO,residential,245811,26878.34
11995,2005,1,MA,residential,1011366,94731.83
11996,2005,1,PI,residential,604772,57733.0
11997,2005,1,CE,residential,1878693,185504.6
11998,2005,1,RN,residential,735608,82106.99
11999,2005,1,PB,residential,846008,79106.92
12001,2005,1,AL,residential,599726,60311.84
12002,2005,1,SE,residential,477783,46413.48
12003,2005,1,BA,residential,3164536,308753.98
12004,2005,1,MG,residential,5163464,611356.26
12005,2005,1,ES,residential,823201,125183.74
12006,2005,1,RJ,residential,5303758,951342.62
12007,2005,1,SP,residential,11884715,2186011.6
12008,2005,1,PR,residential,2587074,405965.04
12009,2005,1,SC,residential,1543627,297357.26
12010,2005,1,RS,residential,2839275,491393.46
12011,2005,1,MS,residential,559184,87887.2
12012,2005,1,MT,residential,609211,106210.88
12013,2005,1,GO,residential,1579107,207689.83
12014,2005,1,DF,residential,611909,125206.0
12015,2005,2,RO,residential,267794,42059.0
12016,2005,2,AC,residential,109635,15874.98
12017,2005,2,AM,residential,496921,78316.59
12018,2005,2,RR,residential,69245,15026.06
12019,2005,2,PA,residential,1130824,135499.41
12020,2005,2,AP,residential,106378,22649.0
12021,2005,2,TO,residential,246539,26710.23
12022,2005,2,MA,residential,1016102,88301.24
12023,2005,2,PI,residential,606249,51963.0
12024,2005,2,CE,residential,1884325,177313.5
12025,2005,2,RN,residential,738870,79768.33
12026,2005,2,PB,residential,847416,78452.63
12028,2005,2,AL,residential,602478,59490.59
12029,2005,2,SE,residential,478729,47832.48
12030,2005,2,BA,residential,3175763,309170.06
12031,2005,2,MG,residential,5172999,559890.79
12032,2005,2,ES,residential,826856,116100.9
12033,2005,2,RJ,residential,5313220,870828.06
12034,2005,2,SP,residential,11884550,2070147.27
12035,2005,2,PR,residential,2594461,397542.07
12036,2005,2,SC,residential,1548303,290636.35
12037,2005,2,RS,residential,2847374,473485.86
12038,2005,2,MS,residential,560772,83054.42
12039,2005,2,MT,residential,611565,104701.0
12040,2005,2,GO,residential,1583078,201710.83
12041,2005,2,DF,residential,609020,121621.0
12042,2005,3,RO,residential,271193,44612.0
12043,2005,3,AC,residential,110313,16882.1
12044,2005,3,AM,residential,497352,77641.35
12045,2005,3,RR,residential,69501,14307.4
12046,2005,3,PA,residential,1130404,139527.44
12047,2005,3,AP,residential,106378,22649.0
12048,2005,3,TO,residential,248201,26105.23
12049,2005,3,MA,residential,1017092,88043.19
12050,2005,3,PI,residential,607765,50343.0
12051,2005,3,CE,residential,1888399,183338.5
12052,2005,3,RN,residential,739365,80349.71
12053,2005,3,PB,residential,842107,76801.26
12055,2005,3,AL,residential,603977,57972.4
12056,2005,3,SE,residential,479886,47971.18
12057,2005,3,BA,residential,3187086,296337.99
12058,2005,3,MG,residential,5179600,560495.05
12059,2005,3,ES,residential,827812,117600.63
12060,2005,3,RJ,residential,5337553,900342.64
12061,2005,3,SP,residential,11929128,2132612.31
12062,2005,3,PR,residential,2600332,389053.14
12063,2005,3,SC,residential,1552269,281170.63
12064,2005,3,RS,residential,2855762,484839.75
12065,2005,3,MS,residential,562155,92202.06
12066,2005,3,MT,residential,614151,112487.32
12067,2005,3,GO,residential,1587468,197320.76
12068,2005,3,DF,residential,611522,118193.0
12069,2005,4,RO,residential,272543,42779.0
12070,2005,4,AC,residential,110644,15087.37
12071,2005,4,AM,residential,497059,81575.54
12072,2005,4,RR,residential,69651,15098.26
12073,2005,4,PA,residential,1135483,144593.86
12074,2005,4,AP,residential,106378,22649.0
12075,2005,4,TO,residential,248564,28586.24
12076,2005,4,MA,residential,1018319,90785.65
12077,2005,4,PI,residential,609385,51135.0
12078,2005,4,CE,residential,1893220,184220.8
12079,2005,4,RN,residential,740792,87988.18
12080,2005,4,PB,residential,843914,78728.62
12081,2005,4,PE,residential,,246704.3
12082,2005,4,AL,residential,605702,60191.49
12083,2005,4,SE,residential,481038,48194.54
12084,2005,4,BA,residential,3197632,297905.0
12085,2005,4,MG,residential,5186922,609841.32
12086,2005,4,ES,residential,829488,125022.87
12087,2005,4,RJ,residential,5346181,959439.27
12088,2005,4,SP,residential,11946316,2229431.52
12089,2005,4,PR,residential,2607186,413205.36
12090,2005,4,SC,residential,1555949,303494.02
12091,2005,4,RS,residential,2858909,463334.48
12092,2005,4,MS,residential,563482,90868.02
12093,2005,4,MT,residential,615834,111940.94
12094,2005,4,GO,residential,1591624,208335.51
12095,2005,4,DF,residential,613092,120602.0
12096,2005,5,RO,residential,273200,42074.0
12097,2005,5,AC,residential,110788,15362.74
12098,2005,5,AM,residential,485882,75404.64
12099,2005,5,RR,residential,69451,13314.41
12100,2005,5,PA,residential,1138426,143909.55
12101,2005,5,AP,residential,108238,20892.65
12102,2005,5,TO,residential,249400,27723.0
12103,2005,5,MA,residential,1020388,90215.55
12104,2005,5,PI,residential,611931,52147.0
12105,2005,5,CE,residential,1896825,182373.0
12106,2005,5,RN,residential,742805,83005.71
12107,2005,5,PB,residential,833080,75523.34
12108,2005,5,PE,residential,,238478.7
12109,2005,5,AL,residential,605029,60101.0
12110,2005,5,SE,residential,482140,46867.43
12111,2005,5,BA,residential,3208578,290163.99
12112,2005,5,MG,residential,5194434,580757.04
12113,2005,5,ES,residential,831909,108386.14
12114,2005,5,RJ,residential,5283568,849608.9
12115,2005,5,SP,residential,11993297,2116809.27
12116,2005,5,PR,residential,2610041,393393.24
12117,2005,5,SC,residential,1559773,270308.42
12118,2005,5,RS,residential,2861807,435400.4
12119,2005,5,MS,residential,562567,82302.55
12120,2005,5,MT,residential,619620,106144.94
12121,2005,5,GO,residential,1596006,202095.84
12122,2005,5,DF,residential,614982,115384.0
12123,2005,6,RO,residential,274223,43170.0
12124,2005,6,AC,residential,111164,17016.42
12125,2005,6,AM,residential,488174,82917.39
12126,2005,6,RR,residential,69392,13300.82
12127,2005,6,PA,residential,1142639,147106.72
12128,2005,6,AP,residential,108238,20621.0
12129,2005,6,TO,residential,250766,28583.35
12130,2005,6,MA,residential,1036590,93280.38
12131,2005,6,PI,residential,614040,52382.0
12132,2005,6,CE,residential,1902430,175902.7
12133,2005,6,RN,residential,744892,78758.98
12134,2005,6,PB,residential,846343,72169.31
12135,2005,6,PE,residential,,218081.8
12136,2005,6,AL,residential,608136,56369.73
12137,2005,6,SE,residential,482888,46053.92
12138,2005,6,BA,residential,3219673,278458.03
12139,2005,6,MG,residential,5204515,597358.0
12140,2005,6,ES,residential,834474,109616.03
12141,2005,6,RJ,residential,5380707,826181.45
12142,2005,6,SP,residential,12011602,2177681.76
12143,2005,6,PR,residential,2618340,405040.63
12144,2005,6,SC,residential,1563399,272440.96
12145,2005,6,RS,residential,2865053,451355.2
12146,2005,6,MS,residential,563761,79669.07
12147,2005,6,MT,residential,620825,107901.8
12148,2005,6,GO,residential,1600247,204714.29
12149,2005,6,DF,residential,615948,125144.0
12150,2005,7,RO,residential,274353,44037.0
12151,2005,7,AC,residential,111536,16402.3
12152,2005,7,AM,residential,489807,83837.24
12153,2005,7,RR,residential,69617,13875.24
12154,2005,7,PA,residential,1146588,148915.86
12155,2005,7,AP,residential,108841,21306.0
12156,2005,7,TO,residential,251733,28287.68
12157,2005,7,MA,residential,1046469,88764.54
12158,2005,7,PI,residential,616693,53827.0
12159,2005,7,CE,residential,1906609,174386.7
12160,2005,7,RN,residential,749186,78399.37
12161,2005,7,PB,residential,849458,71264.5
12162,2005,7,PE,residential,,210061.1
12163,2005,7,AL,residential,615590,51406.8
12164,2005,7,SE,residential,484072,42743.31
12165,2005,7,BA,residential,3230142,276318.55
12166,2005,7,MG,residential,5213997,577654.74
12167,2005,7,ES,residential,837022,110274.88
12168,2005,7,RJ,residential,5388842,775863.04
12169,2005,7,SP,residential,12032336,2162540.56
12170,2005,7,PR,residential,2619176,388345.02
12171,2005,7,SC,residential,1567098,270952.4
12172,2005,7,RS,residential,2866810,453690.2
12173,2005,7,MS,residential,564248,72229.71
12174,2005,7,MT,residential,622462,98970.54
12175,2005,7,GO,residential,1604813,202618.22
12176,2005,7,DF,residential,621859,127848.0
12177,2005,8,RO,residential,275563,41782.0
12178,2005,8,AC,residential,112450,15430.32
12179,2005,8,AM,residential,490618,85501.73
12180,2005,8,RR,residential,69893,13536.97
12181,2005,8,PA,residential,1151934,155236.63
12182,2005,8,AP,residential,109418,20811.0
12183,2005,8,TO,residential,253044,28534.0
12184,2005,8,MA,residential,1049558,98595.24
12185,2005,8,PI,residential,619515,54216.0
12186,2005,8,CE,residential,1914276,180092.3
12187,2005,8,RN,residential,749186,78399.37
12188,2005,8,PB,residential,851402,71010.5
12189,2005,8,PE,residential,2086885,213244.4
12190,2005,8,AL,residential,629398,59078.91
12191,2005,8,SE,residential,485507,41898.97
12192,2005,8,BA,residential,3240489,274643.96
12193,2005,8,MG,residential,5224880,564873.94
12194,2005,8,ES,residential,840132,108658.35
12195,2005,8,RJ,residential,5411111,788320.27
12196,2005,8,SP,residential,12042894,2173290.79
12197,2005,8,PR,residential,2622551,395000.18
12198,2005,8,SC,residential,1571684,275466.73
12199,2005,8,RS,residential,2873443,459287.0
12200,2005,8,MS,residential,564361,72865.18
12201,2005,8,MT,residential,622500,98136.96
12202,2005,8,GO,residential,1609165,206878.26
12203,2005,8,DF,residential,618299,129885.0
12204,2005,9,RO,residential,277205,44447.0
12205,2005,9,AC,residential,112943,17990.5
12206,2005,9,AM,residential,492658,92573.69
12207,2005,9,RR,residential,69971,15014.8
12208,2005,9,PA,residential,1158405,155232.93
12209,2005,9,AP,residential,109753,23728.23
12210,2005,9,TO,residential,254536,32567.84
12211,2005,9,MA,residential,1050931,95742.15
12212,2005,9,PI,residential,621760,58193.0
12213,2005,9,CE,residential,1921975,175055.6
12214,2005,9,RN,residential,751530,78757.21
12215,2005,9,PB,residential,853552,72031.47
12216,2005,9,PE,residential,,220875.26
12217,2005,9,AL,residential,618155,51573.04
12218,2005,9,SE,residential,487848,44342.58
12219,2005,9,BA,residential,3255386,281416.01
12220,2005,9,MG,residential,5235849,605412.67
12221,2005,9,ES,residential,845448,115960.83
12222,2005,9,RJ,residential,5421579,874441.62
12223,2005,9,SP,residential,12093749,2224133.06
12224,2005,9,PR,residential,2629915,404878.84
12225,2005,9,SC,residential,1575622,278748.95
12226,2005,9,RS,residential,2875388,446454.49
12227,2005,9,MS,residential,565623,77629.18
12228,2005,9,MT,residential,626090,111004.72
12229,2005,9,GO,residential,1614131,221939.99
12230,2005,9,DF,residential,621401,129209.0
12231,2005,10,RO,residential,278759,45669.0
12232,2005,10,AC,residential,113426,18600.67
12233,2005,10,AM,residential,494421,85427.1
12234,2005,10,RR,residential,70329,15410.35
12235,2005,10,PA,residential,1158967,153266.43
12236,2005,10,AP,residential,110502,22847.4
12237,2005,10,TO,residential,255684,31535.54
12238,2005,10,MA,residential,1059354,96948.02
12239,2005,10,PI,residential,624678,60461.0
12240,2005,10,CE,residential,1930459,182402.4
12241,2005,10,RN,residential,753667,77150.97
12242,2005,10,PB,residential,855333,75139.86
12243,2005,10,PE,residential,,225296.06
12244,2005,10,AL,residential,622624,53771.0
12245,2005,10,SE,residential,489520,47717.83
12246,2005,10,BA,residential,3268432,293223.96
12247,2005,10,MG,residential,5242820,592283.17
12248,2005,10,ES,residential,850348,113938.15
12249,2005,10,RJ,residential,5435196,819844.9
12250,2005,10,SP,residential,12124038,2247606.75
12251,2005,10,PR,residential,2635857,397467.78
12252,2005,10,SC,residential,1579165,274961.98
12253,2005,10,RS,residential,2877464,440333.58
12254,2005,10,MS,residential,566929,79265.13
12255,2005,10,MT,residential,627052,112020.76
12256,2005,10,GO,residential,1618333,222138.5
12257,2005,10,DF,residential,627831,133259.0
12258,2005,11,RO,residential,279211,48912.0
12259,2005,11,AC,residential,114043,19209.49
12260,2005,11,AM,residential,495703,90085.22
12261,2005,11,RR,residential,70669,17628.94
12262,2005,11,PA,residential,1158202,155462.19
12263,2005,11,AP,residential,110849,22736.7
12264,2005,11,TO,residential,256030,30527.62
12265,2005,11,MA,residential,1070214,101456.67
12266,2005,11,PI,residential,627380,60582.0
12267,2005,11,CE,residential,1935459,187459.2
12268,2005,11,RN,residential,755865,84520.21
12269,2005,11,PB,residential,858079,77841.42
12270,2005,11,PE,residential,,232156.34
12271,2005,11,AL,residential,630607,59350.0
12272,2005,11,SE,residential,490963,47345.59
12273,2005,11,BA,residential,3281936,298957.04
12274,2005,11,MG,residential,5251298,599505.03
12275,2005,11,ES,residential,854833,115211.98
12276,2005,11,RJ,residential,5450924,867503.63
12277,2005,11,SP,residential,12137736,2192297.08
12278,2005,11,PR,residential,2640707,404452.24
12279,2005,11,SC,residential,1583524,271635.72
12280,2005,11,RS,residential,2882137,440657.0
12281,2005,11,MS,residential,569042,85587.44
12282,2005,11,MT,residential,629032,116947.39
12283,2005,11,GO,residential,1622344,216687.08
12284,2005,11,DF,residential,629907,131726.0
12285,2005,12,RO,residential,279911,46609.0
12286,2005,12,AC,residential,114049,17956.87
12287,2005,12,AM,residential,496833,80037.84
12288,2005,12,RR,residential,70578,14388.87
12289,2005,12,PA,residential,1162027,151126.26
12290,2005,12,AP,residential,111158,22523.87
12291,2005,12,TO,residential,256510,28310.26
12292,2005,12,MA,residential,1080495,100305.46
12293,2005,12,PI,residential,630361,59673.0
12294,2005,12,CE,residential,1943684,189461.9
12295,2005,12,RN,residential,758977,89512.71
12296,2005,12,PB,residential,861757,75965.18
12297,2005,12,PE,residential,,242037.1
12298,2005,12,AL,residential,630853,57170.0
